Country,Region,District,Aimak,Locality,Old name,Status,Population
Кыргызстан,,,,Бишкек,,город,"1,321,877"
Кыргызстан,,,,Ош,,город,"473,552"
Кыргызстан,Баткенская,,,Баткен,,город,"30,336"
Кыргызстан,Баткенская,,,Кызыл - Кия,,город,"64,106"
Кыргызстан,Баткенская,,,Сулюкта,,город,"25,544"
Кыргызстан,Баткенская,Баткенский,Ак-Татырский,Ак-Татыр,,село,"4,585"
Кыргызстан,Баткенская,Баткенский,Ак-Татырский,Рават,,село,"2,808"
Кыргызстан,Баткенская,Баткенский,Ак-Татырский,Орто-Боз,Говсувар,село,"1,202"
Кыргызстан,Баткенская,Баткенский,Самаркандекский,Самаркандек,,село,"8,022"
Кыргызстан,Баткенская,Баткенский,Самаркандекский,Джаны-Бак,,село,"2,857"
Кыргызстан,Баткенская,Баткенский,Самаркандекский,Мин-Орук,,село,962
Кыргызстан,Баткенская,Баткенский,Самаркандекский,Паскы-Арык,,село,"2,560"
Кыргызстан,Баткенская,Баткенский,Терт-Гюльский,Ак-Оток,,село,468
Кыргызстан,Баткенская,Баткенский,Терт-Гюльский,Ак-Турпак,,село,"1,332"
Кыргызстан,Баткенская,Баткенский,Терт-Гюльский,Зар-Таш,,село,"1,073"
Кыргызстан,Баткенская,Баткенский,Терт-Гюльский,Чон-Гара,,село,"3,760"
Кыргызстан,Баткенская,Баткенский,Терт-Гюльский,Чон-Талаа,,село,"1,881"
Кыргызстан,Баткенская,Баткенский,Суу-Башынский,Боз-Адыр,,село,"3,734"
Кыргызстан,Баткенская,Баткенский,Суу-Башынский,Апкан,,село,"1,430"
Кыргызстан,Баткенская,Баткенский,Суу-Башынский,Беджей,,село,"1,036"
Кыргызстан,Баткенская,Баткенский,Суу-Башынский,Кара-Токой,,село,"1,464"
Кыргызстан,Баткенская,Баткенский,Суу-Башынский,Айгуль-Таш,,село,378
Кыргызстан,Баткенская,Баткенский,Кара-Булакский,Кара-Булак,,село,"3,964"
Кыргызстан,Баткенская,Баткенский,Кара-Булакский,Бужум,,село,"11,781"
Кыргызстан,Баткенская,Баткенский,Кыштутский,Таян,,село,"1,737"
Кыргызстан,Баткенская,Баткенский,Кыштутский,Газ,,село,"2,239"
