Country,Region,District,Aimak,Locality,AltNames,OldName,SearchString,LocalityType,Population
Кыргызстан,,,,Бишкек,,,бишкөк,город,1321877
Кыргызстан,,,,Ош,,,өш,город,473552
Кыргызстан,Баткенская,,,Баткен,,,баткөн,город,30336
Кыргызстан,Баткенская,,,Кызыл-Кия,Кызыл-Кыя,,кызылкия|кызылкыя,город,64106
Кыргызстан,Баткенская,,,Сулюкта,Cүлүктү,,сүлүкта|сүлүктү,город,25544
Кыргызстан,Баткенская,Баткенский,Ак-Татырский,Ак-Татыр,,,актатыр,село,4585
Кыргызстан,Баткенская,Баткенский,Ак-Татырский,Рават,,,рават,село,2808
Кыргызстан,Баткенская,Баткенский,Ак-Татырский,Орто-Боз,,Говсувар,өртөбөз|гөвсүвар,село,1202
Кыргызстан,Баткенская,Баткенский,Самаркандекский,Самаркандек,,,самаркандөк,село,8022
Кыргызстан,Баткенская,Баткенский,Самаркандекский,Джаны-Бак,,,жаныбак,село,2857
Кыргызстан,Баткенская,Баткенский,Самаркандекский,Мин-Орук,,,минөрүк,село,962
Кыргызстан,Баткенская,Баткенский,Самаркандекский,Паскы-Арык,,,,село,2560
Кыргызстан,Баткенская,Баткенский,Терт-Гюльский,Ак-Оток,,,,село,468
Кыргызстан,Баткенская,Баткенский,Терт-Гюльский,Ак-Турпак,,,,село,1332
Кыргызстан,Баткенская,Баткенский,Терт-Гюльский,Зар-Таш,,,,село,1073
Кыргызстан,Баткенская,Баткенский,Терт-Гюльский,Чон-Гара,,,,село,3760
Кыргызстан,Баткенская,Баткенский,Терт-Гюльский,Чон-Талаа,,,,село,1881
Кыргызстан,Баткенская,Баткенский,Суу-Башынский,Боз-Адыр,,,,село,3734
Кыргызстан,Баткенская,Баткенский,Суу-Башынский,Апкан,,,,село,1430
Кыргызстан,Баткенская,Баткенский,Суу-Башынский,Беджей,,,,село,1036
Кыргызстан,Баткенская,Баткенский,Суу-Башынский,Кара-Токой,,,,село,1464
Кыргызстан,Баткенская,Баткенский,Суу-Башынский,Айгуль-Таш,,,,село,378
Кыргызстан,Баткенская,Баткенский,Кара-Булакский,Кара-Булак,,,,село,3964
Кыргызстан,Баткенская,Баткенский,Кара-Булакский,Бужум,,,,село,11781
Кыргызстан,Баткенская,Баткенский,Кыштутский,Таян,,,,село,1737
Кыргызстан,Баткенская,Баткенский,Кыштутский,Газ,,,,село,2239
Кыргызстан,Баткенская,Баткенский,Кыштутский,Кыштут,,,,село,1405
Кыргызстан,Баткенская,Баткенский,Кыштутский,Сай,,,,село,2415
Кыргызстан,Баткенская,Баткенский,Кыштутский,Согмент,,,,село,2389
Кыргызстан,Баткенская,Баткенский,Кыштутский,Чарбак,,,,село,514
Кыргызстан,Баткенская,Баткенский,Дарыинский,Жанырык,,,,село,217
Кыргызстан,Баткенская,Баткенский,Дарыинский,Тунук-Суу,,,,село,269
Кыргызстан,Баткенская,Баткенский,Дарыинский,Кан,,,,село,677
Кыргызстан,Баткенская,Баткенский,Дарыинский,Табылгы,,,,село,254
Кыргызстан,Баткенская,Баткенский,Дарыинский,Кайынды,,,,село,1089
Кыргызстан,Баткенская,Баткенский,Дарыинский,Сары-Талаа,,,,село,584
Кыргызстан,Баткенская,Баткенский,Дарыинский,Джаны-Джер,,,,село,3386
Кыргызстан,Баткенская,Баткенский,Дарыинский,Чек,,,,село,5059
Кыргызстан,Баткенская,Баткенский,Дарыинский,Коргон-Таш,,,,село,87
Кыргызстан,Баткенская,Баткенский,Ак-Сайский,Ак-Сай,,,,село,1698
Кыргызстан,Баткенская,Баткенский,Ак-Сайский,Кек-Таш,,,,село,1940
Кыргызстан,Баткенская,Баткенский,Ак-Сайский,Капчыгай,,,,село,631
Кыргызстан,Баткенская,Баткенский,Ак-Сайский,Таштумшук,,,,село,525
Кыргызстан,Баткенская,Баткенский,Ак-Сайский,Уч-Дебе,,,,село,2313
Кыргызстан,Баткенская,Баткенский,Ак-Сайский,Мин-Булак,,,,село,1165
Кыргызстан,Баткенская,Баткенский,Кара-Бакский,Кара-Бак,,,,село,8343
Кыргызстан,Баткенская,Баткенский,Кара-Бакский,Достук,,,,село,370
Кыргызстан,Баткенская,Баткенский,Кара-Бакский,Кызыл-Бель,,,,село,8275
Кыргызстан,Баткенская,Баткенский,Кара-Бакский,Чет-Кызыл,,,,село,2373
Кыргызстан,Баткенская,Баткенский,Кара-Бакский,Зардалы,,,,село,357
Кыргызстан,Баткенская,Баткенский,Кара-Бакский,Добо,,,,село,889
Кыргызстан,Баткенская,Баткенский,Кара-Бакский,Бай Кара-Бак,,,байкарабак,село,599
Кыргызстан,Баткенская,Баткенский,Кара-Бакский,Момунов,,,,село,0
Кыргызстан,Баткенская,Лейлекский,,Раззаков,,Исфана,раззакөв|исфана,город,36008
Кыргызстан,Баткенская,Лейлекский,Ак-Сууский,Ак-Суу,,,,село,3873
Кыргызстан,Баткенская,Лейлекский,Ак-Сууский,Алга,,,,село,1544
Кыргызстан,Баткенская,Лейлекский,Ак-Сууский,Джениш,,,,село,1873
Кыргызстан,Баткенская,Лейлекский,Ак-Сууский,Суу-Башы,,,,село,665
Кыргызстан,Баткенская,Лейлекский,Ак-Сууский,Жезкен,Жескен,,,село,309
Кыргызстан,Баткенская,Лейлекский,Бешкентский,Бешкент,,,,село,4257
Кыргызстан,Баткенская,Лейлекский,Бешкентский,им.Карла Маркса,Карл Маркс,,,село,2983
Кыргызстан,Баткенская,Лейлекский,Бешкентский,Кайрагач,,,,село,2893
Кыргызстан,Баткенская,Лейлекский,Бешкентский,50 лет СССР,,,,село,613
Кыргызстан,Баткенская,Лейлекский,Бешкентский,Эски-Оочу,,,,село,1746
Кыргызстан,Баткенская,Лейлекский,Кен-Талааский,Мурас,,Маргун,мүрас|маргүн,село,3408
Кыргызстан,Баткенская,Лейлекский,Кен-Талааский,Уч-Булак,,Чурбек,үчбүлак|чүрбөк,село,1190
Кыргызстан,Баткенская,Лейлекский,Кен-Талааский,Жети-Таш,,Дархум,,село,996
Кыргызстан,Баткенская,Лейлекский,Кен-Талааский,Кереге-Таш,,Даргаз,,село,265
Кыргызстан,Баткенская,Лейлекский,Джаны-Джерский,Борбордук (Центральное),,,,село,7478
Кыргызстан,Баткенская,Лейлекский,Джаны-Джерский,Арка,,,,село,4466
Кыргызстан,Баткенская,Лейлекский,Джаны-Джерский,Достук,,,,село,4243
Кыргызстан,Баткенская,Лейлекский,Лейлекский,Коргон,,,,село,2442
Кыргызстан,Баткенская,Лейлекский,Лейлекский,Кара-Суу,,,,село,1648
Кыргызстан,Баткенская,Лейлекский,Лейлекский,Лейлек,,,,село,1654
Кыргызстан,Баткенская,Лейлекский,Лейлекский,Чуянчы,,,чүянчы,село,1361
Кыргызстан,Баткенская,Лейлекский,Лейлекский,Ак-Терек,,,,село,1723
Кыргызстан,Баткенская,Лейлекский,Катранский,Катран,,,,село,7594
Кыргызстан,Баткенская,Лейлекский,Катранский,Джаны-Турмуш,,,,село,2375
Кыргызстан,Баткенская,Лейлекский,Катранский,Озгерюш,,,,село,1352
Кыргызстан,Баткенская,Лейлекский,Кулундинский,Кулунду,,,,село,10203
Кыргызстан,Баткенская,Лейлекский,Кулундинский,Булак-Башы,,,,село,1549
Кыргызстан,Баткенская,Лейлекский,Кулундинский,Интернациональное,,,,село,4103
Кыргызстан,Баткенская,Лейлекский,Кулундинский,Коммунизм,,,,село,4637
Кыргызстан,Баткенская,Лейлекский,Кулундинский,им.Ленина,,,,село,4076
Кыргызстан,Баткенская,Лейлекский,Кулундинский,Максат,,,,село,919
Кыргызстан,Баткенская,Лейлекский,Сумбулинский,Андарак,,,,село,8393
Кыргызстан,Баткенская,Лейлекский,Сумбулинский,Искра,,,,село,2742
Кыргызстан,Баткенская,Лейлекский,Сумбулинский,Кек-Таш,,,,село,4141
Кыргызстан,Баткенская,Лейлекский,Сумбулинский,Сары-Добо,,Коммуна,,село,1839
Кыргызстан,Баткенская,Лейлекский,Тогуз-Булакский,Тогуз-Булак,,,,село,1271
Кыргызстан,Баткенская,Лейлекский,Тогуз-Булакский,Ай-Кол,,,,село,1383
Кыргызстан,Баткенская,Лейлекский,Тогуз-Булакский,Кара-Булак,,,,село,2931
Кыргызстан,Баткенская,Лейлекский,Тогуз-Булакский,Айбике,,Маданият,,село,3097
Кыргызстан,Баткенская,Лейлекский,Тогуз-Булакский,Мин-Жыгач,,50 лет Киргизии,,село,2252
Кыргызстан,Баткенская,Лейлекский,Тогуз-Булакский,Арча-Бешик,,им.Чапаева,,село,555
Кыргызстан,Баткенская,Кадамджайский,,Айдаркен,,,,город,14165
Кыргызстан,Баткенская,Кадамджайский,,Кадамджай,,,,город,15686
Кыргызстан,Баткенская,Кадамджайский,Ак-Турпакский,Жаны-Жер,,,,село,4169
Кыргызстан,Баткенская,Кадамджайский,Ак-Турпакский,Ак-Турпак,,,,село,726
Кыргызстан,Баткенская,Кадамджайский,Ак-Турпакский,Калача,,,,село,342
Кыргызстан,Баткенская,Кадамджайский,Ак-Турпакский,Кара-Тумшук,,,,село,263
Кыргызстан,Баткенская,Кадамджайский,Ак-Турпакский,Кызыл-Коргон,,,,село,940
Кыргызстан,Баткенская,Кадамджайский,Ак-Турпакский,Отукчу,,,,село,659
Кыргызстан,Баткенская,Кадамджайский,Ак-Турпакский,Сары-Камыш,,,,село,26
Кыргызстан,Баткенская,Кадамджайский,Ак-Турпакский,Токой,,,,село,278
Кыргызстан,Баткенская,Кадамджайский,Ак-Турпакский,Чогорок,,,,село,279
Кыргызстан,Баткенская,Кадамджайский,Ак-Турпакский,Чон-Кара,,,,село,390
Кыргызстан,Баткенская,Кадамджайский,Ак-Турпакский,Жаш-Тилек,,,,село,738
Кыргызстан,Баткенская,Кадамджайский,Ак-Турпакский,Орукзар,,,,село,3605
Кыргызстан,Баткенская,Кадамджайский,Ак-Турпакский,Мин-Чынар,,,,село,4889
Кыргызстан,Баткенская,Кадамджайский,Ак-Турпакский,Келечек,,,,село,610
Кыргызстан,Баткенская,Кадамджайский,Ак-Турпакский,Жетиген,,,,село,1126
Кыргызстан,Баткенская,Кадамджайский,Алгинский,Алга,,,,село,4783
Кыргызстан,Баткенская,Кадамджайский,Алгинский,Адыр,,,,село,1153
Кыргызстан,Баткенская,Кадамджайский,Алгинский,Бексе,,,,село,0
Кыргызстан,Баткенская,Кадамджайский,Алгинский,Мыргылжек,,,,село,0
Кыргызстан,Баткенская,Кадамджайский,Алгинский,Шыбран,,,,село,601
Кыргызстан,Баткенская,Кадамджайский,Алгинский,Чункур-Кыштак,,,,село,2518
Кыргызстан,Баткенская,Кадамджайский,Алгинский,Жаны-Чек,,,,село,125
Кыргызстан,Баткенская,Кадамджайский,Кыргыз-Кыштакский,Кыргыз-Кыштак,,,,село,6109
Кыргызстан,Баткенская,Кадамджайский,Кыргыз-Кыштакский,Кожо-Корум,,,,село,77
Кыргызстан,Баткенская,Кадамджайский,Кыргыз-Кыштакский,Кайтпас,,,,село,3231
Кыргызстан,Баткенская,Кадамджайский,Кыргыз-Кыштакский,Бюргендю ОПХ,,,,село,488
Кыргызстан,Баткенская,Кадамджайский,Кыргыз-Кыштакский,Бюргендю ПМК,,,,село,202
Кыргызстан,Баткенская,Кадамджайский,Кыргыз-Кыштакский,Ак-Тилек,,,,село,172
Кыргызстан,Баткенская,Кадамджайский,Кыргыз-Кыштакский,Умай-Эне,,,,село,172
Кыргызстан,Баткенская,Кадамджайский,Советский,Советский,,,,село,1575
Кыргызстан,Баткенская,Кадамджайский,Бирликский,Ормош,,,,село,1608
Кыргызстан,Баткенская,Кадамджайский,Бирликский,Бель,,,,село,1161
Кыргызстан,Баткенская,Кадамджайский,Бирликский,Джал,,,,село,1210
Кыргызстан,Баткенская,Кадамджайский,Бирликский,Джаны-Коргон,,,,село,1474
Кыргызстан,Баткенская,Кадамджайский,Бирликский,Моло,,,,село,745
Кыргызстан,Баткенская,Кадамджайский,Бирликский,Сур,,,,село,2114
Кыргызстан,Баткенская,Кадамджайский,Бирликский,Сырт,,,,село,1816
Кыргызстан,Баткенская,Кадамджайский,Бирликский,Тескей,,,,село,250
Кыргызстан,Баткенская,Кадамджайский,Бирликский,Чечме,,,,село,1319
Кыргызстан,Баткенская,Кадамджайский,Бирликский,Эшме,,,,село,917
Кыргызстан,Баткенская,Кадамджайский,Бирликский,Жаны-Сырт,,,,село,505
Кыргызстан,Баткенская,Кадамджайский,Бирликский,Ынтымак,,,,село,401
Кыргызстан,Баткенская,Кадамджайский,Абсамат Масалиевский,Кара-Дебе,,,,село,3487
Кыргызстан,Баткенская,Кадамджайский,Абсамат Масалиевский,Олагыш,,,,село,1521
Кыргызстан,Баткенская,Кадамджайский,Абсамат Масалиевский,Какыр,,,,село,1740
Кыргызстан,Баткенская,Кадамджайский,Абсамат Масалиевский,Кожо,,,,село,1416
Кыргызстан,Баткенская,Кадамджайский,Абсамат Масалиевский,Кон,,,,село,1154
Кыргызстан,Баткенская,Кадамджайский,Абсамат Масалиевский,Алыш,,,,село,3034
Кыргызстан,Баткенская,Кадамджайский,Абсамат Масалиевский,Таш-Коргон,,,,село,3335
Кыргызстан,Баткенская,Кадамджайский,Абсамат Масалиевский,Лесхоз,,,,село,1087
Кыргызстан,Баткенская,Кадамджайский,Айрыбазский,Айрыбаз,,Марказ,,село,8415
Кыргызстан,Баткенская,Кадамджайский,Айрыбазский,Арпа-Сай,,,,село,1528
Кыргызстан,Баткенская,Кадамджайский,Айрыбазский,Достук,,,,село,2118
Кыргызстан,Баткенская,Кадамджайский,Айрыбазский,Кек-Талаа,,,,село,3866
Кыргызстан,Баткенская,Кадамджайский,Айрыбазский,Маяк,,,,село,1256
Кыргызстан,Баткенская,Кадамджайский,Айрыбазский,Пылдырак,,,,село,258
Кыргызстан,Баткенская,Кадамджайский,Майданский,Кара-Джыгач,,,,село,3336
Кыргызстан,Баткенская,Кадамджайский,Майданский,Аустан,,,,село,237
Кыргызстан,Баткенская,Кадамджайский,Майданский,Кара-Кыштак,,,,село,1405
Кыргызстан,Баткенская,Кадамджайский,Майданский,Кароол,,,,село,605
Кыргызстан,Баткенская,Кадамджайский,Майданский,Кереге-Таш,,,,село,464
Кыргызстан,Баткенская,Кадамджайский,Майданский,Майдан,,,,село,2312
Кыргызстан,Баткенская,Кадамджайский,Майданский,Пум,,,,село,1059
Кыргызстан,Баткенская,Кадамджайский,Майданский,Кара-Добо,,,,село,1879
Кыргызстан,Баткенская,Кадамджайский,Майданский,Исфайрам,,,,село,1062
Кыргызстан,Баткенская,Кадамджайский,Майданский,Сары-Алтын,,,,село,1542
Кыргызстан,Баткенская,Кадамджайский,Майданский,Бак,,,,село,981
Кыргызстан,Баткенская,Кадамджайский,Майданский,Акимбек,,,,село,302
Кыргызстан,Баткенская,Кадамджайский,Майданский,Жаны-Абад,,,,село,286
Кыргызстан,Баткенская,Кадамджайский,Орозбековский,Орозбеково,,,,село,3626
Кыргызстан,Баткенская,Кадамджайский,Орозбековский,Кулду,,,,село,5433
Кыргызстан,Баткенская,Кадамджайский,Орозбековский,Кош-Добо,,,,село,1064
Кыргызстан,Баткенская,Кадамджайский,Орозбековский,Кудук,,,,село,1643
Кыргызстан,Баткенская,Кадамджайский,Орозбековский,Ондуруш,,,,село,864
Кыргызстан,Баткенская,Кадамджайский,Орозбековский,Сары-Талааа,,,,село,381
Кыргызстан,Баткенская,Кадамджайский,Орозбековский,Учкун,,,,село,1390
Кыргызстан,Баткенская,Кадамджайский,Молдо Нияз,Кызыл-Булак,,,,село,2281
Кыргызстан,Баткенская,Кадамджайский,Молдо Нияз,Ак-Кия,,,,село,1207
Кыргызстан,Баткенская,Кадамджайский,Молдо Нияз,Гайрат,,,,село,1610
Кыргызстан,Баткенская,Кадамджайский,Молдо Нияз,Джалгыз-Булак,,,,село,521
Кыргызстан,Баткенская,Кадамджайский,Молдо Нияз,Кара-Оот,,,,село,652
Кыргызстан,Баткенская,Кадамджайский,Молдо Нияз,Кара-Шоро,,,,село,209
Кыргызстан,Баткенская,Кадамджайский,Молдо Нияз,Кескен-Таш,,,,село,1682
Кыргызстан,Баткенская,Кадамджайский,Молдо Нияз,Кетерме,,,,село,755
Кыргызстан,Баткенская,Кадамджайский,Молдо Нияз,Тамаша,,,,село,1283
Кыргызстан,Баткенская,Кадамджайский,Молдо Нияз,Лангар,,,,село,939
Кыргызстан,Баткенская,Кадамджайский,Чаувайский,Чаувай,,,,село,1660
Кыргызстан,Баткенская,Кадамджайский,Уч-Коргонский,Уч-Коргон,,,,село,15571
